Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x9645046db31650329fd94de0a94c3f0897efabc65b3d02dea19c6484536148d7","Success","Transfer","23591020","2025-10-16 15:09:35","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0x81db6dee431587efb663f8a060582dce45f3657e","","0.0003 ETH","$1.16","0.00001824"
"0xcfdc01067cfa08e4c6f06c327d15b633f842f8721556ce6841d1e3e0eeb47402","Success","Swap And Start Bridge Tokens Via Across V4","23543945","2025-10-10 01:07:11","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae","LI.FI: LiFi Diamond","0 ETH","$0.00","0.00018718"
"0x8d057e603d5caf13e3c6e3ed2ceca7c47e1ef3c420eb4e6c984c3ad3b9baf675","Success","Approve","23543943","2025-10-10 01:06:47","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","Circle: USDC Token","0 ETH","$0.00","0.00006276"
"0x6b4477b3f94b6da6561a7d854e6aaac474123b0ea9686b27aba990932f8592b5","Success","Burn","23543936","2025-10-10 01:05:23","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0xcccc62962d17b8914c62d74ffb843d73b2a3cccc","Cap: cUSD Token","0 ETH","$0.00","0.00003052"
"0x1b21d70ce4ff43251c07eb195f6c86816c9d7bbecbe7ba1d7daaea73974024ee","Success","Mint","23524894","2025-10-07 09:10:35","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0xcccc62962d17b8914c62d74ffb843d73b2a3cccc","Cap: cUSD Token","0 ETH","$0.00","0.00004325"
"0xbcec441e7f6f4e186d19d5330c1d8e18761ef31715c11c969d3b40dfb79f656b","Success","Execute","23524891","2025-10-07 09:09:59","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0x66a9893cc07d91d95644aedd05d03f95e1dba8af","Uniswap V4: Universal Router","0 ETH","$0.00","0.00003779"
"0x0b963c0bb6facdb7fc4714990eb61dc70c508a9816fa93b4aa75fa4a4c88c5af","Success","Approve","23524889","2025-10-07 09:09:35","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","Circle: USDC Token","0 ETH","$0.00","0.00001014"
"0x8d22fb89738906f04b8ddae048feed5c46135fad66af84be1613abeeb6aa3200","Success","Approve","23520302","2025-10-06 17:45:23","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","Circle: USDC Token","0 ETH","$0.00","0.00012272"
"0x13c00ccc204fdd12fb818f9c974494f89c9ecab6b3641ff744cff9f8890dc3d2","Success","Redeem","23520292","2025-10-06 17:43:23","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0xdcd0f5ab30856f28385f641580bbd85f88349124","","0 ETH","$0.00","0.00021368"
"0xdfeeb3998858659eaeb1510addf6cdebbf9bec342d535d32ba77caca01c99702","Success","Request Redeem","23519710","2025-10-06 15:46:11","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0xdcd0f5ab30856f28385f641580bbd85f88349124","","0 ETH","$0.00","0.00027346"
"0x0743905b7b47e1ac7f437f08ce56ed68179a513ef7ad3c5ce8057f968dbade1c","Success","Multicall","23507246","2025-10-04 21:58:23","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0x888888888889758f76e7103c6cbf23abbf58f946","Pendle: RouterV4","0 ETH","$0.00","0.00002023"
"0xa1ffc88f3a4d3421c760c285f5275b73889d5002fc6a9fda4b8d109eccd26283","Success","Approve","23507228","2025-10-04 21:54:47","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0x8e5e017d6b3f567623b5d4a690a2a686bf7ba515","Pendle: SY-alUSD Token","0 ETH","$0.00","0.00000622"
"0x03d1eb2c1364f1bc5be3fcd248c6725d0d83cd37fd93e96ede0c78c21393a3fc","Success","Swap Exact Yt For Token","23507225","2025-10-04 21:54:11","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0x888888888889758f76e7103c6cbf23abbf58f946","Pendle: RouterV4","0 ETH","$0.00","0.00003443"
"0x977a703bddfdba09524cd77c059a31a170e71bef599316468d1a6970b962701b","Success","Approve","23507221","2025-10-04 21:53:23","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0xd7c3fc198bd7a50b99629cfe302006e9224f087b","Pendle: YT-alUSD-23OCT2025 Token","0 ETH","$0.00","0.00000579"
"0x37e667a15652a3b901db7136ea7593e71c2dad5d3ccc16e990bef5efebfef5ef","Success","Swap Exact Token For Yt","23501051","2025-10-04 01:11:23","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0x888888888889758f76e7103c6cbf23abbf58f946","Pendle: RouterV4","0 ETH","$0.00","0.00003113"
"0x2a409fce410725094fce3db75462e1ba446974f28cc3be3a0b9db0f82023c7ea","Success","Swap Exact Token For Yt","23497462","2025-10-03 13:10:23","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0x888888888889758f76e7103c6cbf23abbf58f946","Pendle: RouterV4","0 ETH","$0.00","0.00014552"
"0x60f0419c691957867bbffea9af86a43b564a9f10e6a81ef9ef6621f82fd498d3","Error in Main Txn : execution reverted","Swap Exact Token For Yt","23497443","2025-10-03 13:06:35","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0x888888888889758f76e7103c6cbf23abbf58f946","Pendle: RouterV4","0 ETH","$0.00","0.00012376"
"0xf13118c22f838f8f91a309b98898d1ac738e5e35491f02adb1b4e5fae02785e7","Success","Approve","23497385","2025-10-03 12:54:59","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0xdcd0f5ab30856f28385f641580bbd85f88349124","","0 ETH","$0.00","0.00001671"
